Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Chrysler,PT Cruiser,2008,Regular,Y,21,423.1904761904762,2.4
Toyota,Venza AWD,2011,Regular,Y,22,403.95454545454544,2.7
Chevrolet,Silverado C15 2WD,2012,Gasoline or E85,Y,17,522.7647058823529,5.3
Kia,Sorento 4WD,2005,Regular,Y,15,592.4666666666667,3.5
Scion,xB,2009,Regular,Y,24,370.2916666666667,2.4
Mitsubishi,Mirage,2020,Regular,Y,36,242.0,1.2
Kia,Niro Plug-in Hybrid,2020,Regular Gas and Electricity,Y,46,90.0,1.6
Subaru,Legacy AWD,2013,Regular,Y,27,330.0,2.5
Honda,Accord,2013,Regular,Y,27,327.0,2.4
Ford,Fiesta ST FWD,2014,Regular,Y,29,305.0,1.6
Volvo,S90 AWD,2018,Premium,Y,26,340.0,2.0
Acura,MDX Hybrid AWD,2019,Premium,Y,27,330.0,3.0
Toyota,Highlander Hybrid,2021,Regular,Y,36,245.0,2.5
Mazda,3 5-Door 4WD,2023,Regular,Y,29,311.0,2.5
Dodge,Challenger,2010,Regular,Y,19,467.7368421052632,5.7
Hyundai,Santa Fe Sport 2WD,2013,Regular,Y,23,396.0,2.0
Toyota,Tundra 4WD,2016,Regular,Y,16,568.0,4.6
Jeep,Liberty/Cherokee 4WD,2004,Regular,Y,19,467.7368421052632,2.4
Volvo,S60 FWD,2005,Premium,Y,22,403.95454545454544,2.4
Volkswagen,Jetta Wagon,2005,Diesel,Y,34,299.4117647058824,1.9
Dodge,Ram 1500 Pickup 4WD,2005,Regular,Y,13,683.6153846153846,5.7
Chevrolet,Malibu,2007,Regular,Y,25,355.48,2.2
Mazda,Tribute Hybrid 2WD,2008,Regular,Y,32,277.71875,2.3
Hyundai,Sonata,2010,Regular,Y,25,355.48,2.4
Mazda,Tribute 2WD,2002,Regular,Y,19,467.7368421052632,3.0
Cadillac,Escalade 2WD,2013,Gasoline or E85,Y,16,570.0,6.2
Mitsubishi,Outlander 4WD,2022,Regular,Y,26,342.0,2.5
Volkswagen,Jetta Wagon,2005,Regular,Y,24,370.2916666666667,2.0
Buick,Rendezvous FWD,2006,Regular,Y,19,467.7368421052632,3.6
Honda,Accord Hybrid,2006,Regular,Y,25,355.48,3.0
Chevrolet,Equinox AWD,2007,Regular,Y,19,467.7368421052632,3.4
Kia,Optima,2007,Regular,Y,25,355.48,2.4
Jeep,Patriot 4WD,2007,Regular,Y,24,370.2916666666667,2.4
Hyundai,Sonata,2008,Regular,Y,22,403.95454545454544,3.3
Mazda,Tribute 4WD,2008,Regular,Y,19,467.7368421052632,3.0
